,u1,u2,u3,u4,u5
88,-3.0960637433197784e-11,-3.09606299386635e-11,-3.096034644690045e-11,-3.0959543961096724e-11,-3.0963926441816417e-11
89,-3.095986224221022e-11,-3.096039936950576e-11,-3.096336379508577e-11,-3.096432338178429e-11,-3.095962718716599e-11
90,-3.096385674116925e-11,-3.096225181024585e-11,-3.0962053672285593e-11,-3.0960012715906e-11,-3.096395183926554e-11
91,-3.095932005979558e-11,-3.095955843520896e-11,-3.095975632919726e-11,-3.0964171579927616e-11,-3.096339638891358e-11
92,-3.095945329469005e-11,-3.095996871086356e-11,-3.0959523767844496e-11,-3.096048751515562e-11,-3.0959672886300794e-11
93,-3.09601864728699e-11,-3.096047801482085e-11,-3.096059857811566e-11,-3.0960146045681394e-11,-3.0959369906003693e-11
94,-3.0963124836926955e-11,-3.096433282789572e-11,-3.0963856930904633e-11,-3.0959122951853855e-11,-3.096011174422193e-11
95,-3.096218686653572e-11,-3.096352928500811e-11,-3.095945727914627e-11,-3.096006470340017e-11,-3.096175683129653e-11
96,-3.0963773027195775e-11,-3.096034570149822e-11,-3.0960539014745577e-11,-3.0960556782121913e-11,-3.096011091751777e-11
97,-3.096071892455681e-11,-3.0960854111001955e-11,-3.095968557146621e-11,-3.0959500335525043e-11,-3.096381829264971e-11
98,-3.09593546051873e-11,-3.096432731200393e-11,-3.095925370663586e-11,-3.096065705727034e-11,-3.096156224409839e-11
99,-3.09621920978112e-11,-3.095964540177572e-11,-3.096422627791398e-11,-3.0963810703234504e-11,-3.096049734072457e-11
100,-3.096337062555946e-11,-3.096009377357092e-11,-3.0959285148485624e-11,-3.096410831673085e-11,-3.096060643858141e-11
